FlightNumber,Departure,DepartureCode,Arrival,ArrivalCode,Duration,Airline,Aircraft,Category,Price,SeatCapacity,AvailableSeats,DepartureDate,DepartureHour,ArrivalDate,ArrivalHour
AI336,Sydney,SYD,Dubai,DXB,10277,Garuda Indonesia,Boeing 737,Business,705.67,199,163,2025-03-18,05:53:52,2025-03-18,08:45:09
QA415,London,LHR,Jakarta,CGK,11226,Qatar Airways,Boeing 787,Economy,239.34,127,77,2025-03-19,21:50:17,2025-03-20,00:57:23
QA409,Dubai,DXB,London,LHR,13483,Singapore Airlines,Boeing 737,First_Class,997.16,176,94,2025-03-25,11:09:41,2025-03-25,14:54:24
AI762,Jakarta,CGK,New York,JFK,16881,AirAsia,Boeing 777,Premium_Economy,555.5,154,144,2025-03-18,17:42:07,2025-03-18,22:23:28
SI109,Jakarta,CGK,Tokyo,HND,8241,AirAsia,Boeing 777,Premium_Economy,549.38,170,141,2025-03-26,12:01:08,2025-03-26,14:18:29
EM580,Dubai,DXB,Madrid,MAD,9178,AirAsia,Airbus A380,Economy,200.06,125,59,2025-03-22,07:10:19,2025-03-22,09:43:17
QA824,London,LHR,Tokyo,HND,14664,Qatar Airways,Airbus A320,Business,654.21,101,28,2025-03-15,08:09:03,2025-03-15,12:13:27
SI309,New York,JFK,London,LHR,15176,AirAsia,Boeing 737,Economy,240.65,179,21,2025-03-15,17:46:06,2025-03-15,21:59:02
QA924,New York,JFK,Jakarta,CGK,17462,AirAsia,Boeing 737,Premium_Economy,411.3,123,111,2025-03-22,16:37:51,2025-03-22,21:28:53
QA958,Madrid,MAD,New York,JFK,8941,Garuda Indonesia,Airbus A380,Premium_Economy,448.73,180,93,2025-03-27,04:30:28,2025-03-27,06:59:29
GA422,New York,JFK,Jakarta,CGK,8923,AirAsia,Boeing 777,First_Class,952.65,191,53,2025-03-19,00:21:23,2025-03-19,02:50:06
EM974,New York,JFK,London,LHR,14396,Emirates,Boeing 737,Premium_Economy,556.73,184,24,2025-03-15,04:23:20,2025-03-15,08:23:16
AI979,Tokyo,HND,Sydney,SYD,8022,Qatar Airways,Boeing 737,Economy,119.65,178,10,2025-03-22,16:48:21,2025-03-22,19:02:03
SI437,Dubai,DXB,London,LHR,15287,Qatar Airways,Boeing 777,Business,647.98,148,80,2025-03-26,15:39:55,2025-03-26,19:54:42
AI875,London,LHR,New York,JFK,10462,Garuda Indonesia,Airbus A320,Economy,290.26,108,61,2025-03-29,07:09:37,2025-03-29,10:03:59
QA452,London,LHR,Dubai,DXB,16350,Singapore Airlines,Boeing 787,First_Class,932.84,103,31,2025-03-15,04:14:18,2025-03-15,08:46:48
EM778,Tokyo,HND,New York,JFK,7763,AirAsia,Airbus A380,Economy,184.95,100,28,2025-03-27,08:16:44,2025-03-27,10:26:07
QA553,Jakarta,CGK,London,LHR,15347,Qatar Airways,Airbus A320,Economy,255.65,177,47,2025-03-28,18:35:35,2025-03-28,22:51:22
GA513,Dubai,DXB,Sydney,SYD,12911,AirAsia,Airbus A380,Business,705.54,197,140,2025-03-16,06:03:59,2025-03-16,09:39:10
AI197,Tokyo,HND,Dubai,DXB,9567,Garuda Indonesia,Airbus A320,Premium_Economy,481.98,112,108,2025-03-25,09:41:59,2025-03-25,12:21:26
SI307,Tokyo,HND,New York,JFK,16519,Garuda Indonesia,Boeing 777,Economy,299.47,183,31,2025-03-29,06:38:21,2025-03-29,11:13:40
GA620,Jakarta,CGK,Dubai,DXB,16463,Singapore Airlines,Boeing 737,Economy,275.84,104,85,2025-03-17,04:15:18,2025-03-17,08:49:41
GA886,Dubai,DXB,New York,JFK,16534,Singapore Airlines,Airbus A320,Economy,170.19,117,58,2025-03-28,09:24:59,2025-03-28,14:00:33
AI923,New York,JFK,Jakarta,CGK,9147,Garuda Indonesia,Boeing 777,First_Class,933.81,109,48,2025-03-25,10:41:06,2025-03-25,13:13:33
GA130,Madrid,MAD,New York,JFK,8078,Singapore Airlines,Boeing 777,First_Class,991.06,137,85,2025-03-21,21:02:36,2025-03-21,23:17:14
QA336,Tokyo,HND,Dubai,DXB,8147,AirAsia,Boeing 787,Economy,149.48,136,83,2025-03-14,22:24:48,2025-03-15,00:40:35
QA864,Sydney,SYD,Tokyo,HND,8020,AirAsia,Boeing 737,Economy,278.18,173,96,2025-03-23,10:14:50,2025-03-23,12:28:30
EM661,Madrid,MAD,New York,JFK,9014,Singapore Airlines,Boeing 777,Premium_Economy,384.41,116,23,2025-03-26,17:01:03,2025-03-26,19:31:17
SI382,Sydney,SYD,London,LHR,11393,Singapore Airlines,Airbus A380,First_Class,909.15,118,38,2025-03-28,14:23:12,2025-03-28,17:33:05
GA559,Sydney,SYD,New York,JFK,9367,Emirates,Boeing 737,Business,629.11,189,80,2025-03-16,10:09:43,2025-03-16,12:45:50
AI275,London,LHR,Sydney,SYD,10238,Qatar Airways,Airbus A380,Premium_Economy,465.4,191,177,2025-03-29,10:41:39,2025-03-29,13:32:17
SI329,Madrid,MAD,New York,JFK,15981,AirAsia,Boeing 737,First_Class,978.19,133,79,2025-03-25,14:41:39,2025-03-25,19:08:00
EM352,Sydney,SYD,Tokyo,HND,14311,Singapore Airlines,Airbus A320,Business,629.47,170,29,2025-03-29,07:12:01,2025-03-29,11:10:32
QA792,New York,JFK,Madrid,MAD,17190,Garuda Indonesia,Airbus A320,Premium_Economy,575.51,125,31,2025-03-26,19:53:08,2025-03-27,00:39:38
EM642,Jakarta,CGK,Tokyo,HND,10723,AirAsia,Airbus A380,Economy,243.25,178,21,2025-03-15,13:53:05,2025-03-15,16:51:48
EM760,Madrid,MAD,London,LHR,15257,Emirates,Airbus A380,Economy,104.23,123,33,2025-03-22,09:34:48,2025-03-22,13:49:05
GA887,Tokyo,HND,Sydney,SYD,15563,Singapore Airlines,Airbus A380,First_Class,926.13,102,58,2025-03-16,17:20:29,2025-03-16,21:39:52
GA805,Tokyo,HND,Jakarta,CGK,16893,Garuda Indonesia,Boeing 737,Economy,279.43,118,66,2025-03-28,07:16:43,2025-03-28,11:58:16
AI345,London,LHR,Sydney,SYD,11646,Garuda Indonesia,Boeing 787,Business,701.87,159,82,2025-03-25,22:02:16,2025-03-26,01:16:22
QA668,Jakarta,CGK,Sydney,SYD,10128,AirAsia,Boeing 737,First_Class,983.22,182,16,2025-03-26,03:43:49,2025-03-26,06:32:37
QA128,Sydney,SYD,New York,JFK,15548,Singapore Airlines,Boeing 787,Business,881.06,188,143,2025-03-21,00:36:45,2025-03-21,04:55:53
SI384,Sydney,SYD,New York,JFK,13728,Singapore Airlines,Boeing 787,Economy,143.36,155,21,2025-03-18,05:48:18,2025-03-18,09:37:06
EM450,Tokyo,HND,Jakarta,CGK,7559,Qatar Airways,Boeing 787,Business,684.34,175,166,2025-03-17,01:16:38,2025-03-17,03:22:37
AI211,Madrid,MAD,Jakarta,CGK,15500,Singapore Airlines,Airbus A320,Economy,232.96,112,51,2025-03-19,14:33:54,2025-03-19,18:52:14
SI479,Madrid,MAD,London,LHR,15502,Garuda Indonesia,Boeing 787,Economy,151.99,116,94,2025-03-28,12:05:48,2025-03-28,16:24:10
QA990,New York,JFK,Madrid,MAD,13526,Singapore Airlines,Airbus A380,Economy,218.44,184,22,2025-03-22,16:49:05,2025-03-22,20:34:31
AI370,Tokyo,HND,Madrid,MAD,8372,Singapore Airlines,Airbus A320,Premium_Economy,357.37,182,112,2025-03-23,18:24:52,2025-03-23,20:44:24
EM379,Sydney,SYD,Madrid,MAD,10746,AirAsia,Boeing 737,First_Class,945.5,180,117,2025-03-19,01:01:29,2025-03-19,04:00:35
AI989,New York,JFK,London,LHR,17358,Qatar Airways,Airbus A380,First_Class,987.25,134,82,2025-03-25,01:54:58,2025-03-25,06:44:16
GA983,Dubai,DXB,Madrid,MAD,12001,Emirates,Boeing 737,Business,898.01,167,98,2025-03-28,04:47:32,2025-03-28,08:07:33
AI903,London,LHR,New York,JFK,12628,Qatar Airways,Airbus A380,Premium_Economy,549.87,164,44,2025-03-26,16:15:35,2025-03-26,19:46:03
