FlightNumber,Departure,DepartureCode,Arrival,ArrivalCode,Duration,Airline,Aircraft,Category,Price,SeatCapacity,AvailableSeats,DepartureDate,DepartureHour,ArrivalDate,ArrivalHour
QA623,Dubai,DXB,Madrid,MAD,9977,Garuda Indonesia,Airbus A380,Business,796.17,184,38,2025-04-22,03:34:12,2025-04-22,06:20:29
AI596,Tokyo,HND,Jakarta,CGK,15572,AirAsia,Airbus A380,First Class,963.91,149,118,2025-05-26,05:03:44,2025-05-26,09:23:16
GA164,Tokyo,HND,Madrid,MAD,8964,Garuda Indonesia,Boeing 787,Premium Economy,537.64,182,91,2025-05-06,03:02:33,2025-05-06,05:31:57
EM964,Dubai,DXB,Jakarta,CGK,17903,Singapore Airlines,Boeing 787,First Class,921.7,103,66,2025-04-01,07:50:30,2025-04-01,12:48:53
AI307,Madrid,MAD,London,LHR,7387,Qatar Airways,Boeing 737,Business,659.4,141,60,2025-05-10,01:13:57,2025-05-10,03:17:04
QA405,New York,JFK,Jakarta,CGK,12752,Garuda Indonesia,Airbus A320,Business,637.64,171,69,2025-03-30,04:06:45,2025-03-30,07:39:17
QA862,Jakarta,CGK,Madrid,MAD,12331,AirAsia,Boeing 777,Economy,178.12,155,27,2025-03-13,16:12:38,2025-03-13,19:38:09
QA769,Jakarta,CGK,New York,JFK,15366,AirAsia,Airbus A380,Economy,234.3,179,127,2025-06-03,07:52:42,2025-06-03,12:08:48
AI451,Sydney,SYD,Jakarta,CGK,16629,Qatar Airways,Boeing 787,Business,817.42,187,179,2025-05-28,05:23:25,2025-05-28,10:00:34
EM124,Sydney,SYD,Tokyo,HND,16412,AirAsia,Boeing 777,Economy,247.64,151,16,2025-03-07,11:59:25,2025-03-07,16:32:57
GA750,Madrid,MAD,Dubai,DXB,12820,Singapore Airlines,Airbus A320,Business,790.58,128,111,2025-04-20,20:23:45,2025-04-20,23:57:25
QA390,Madrid,MAD,Jakarta,CGK,7987,Singapore Airlines,Airbus A320,First Class,901.77,104,66,2025-05-23,13:20:23,2025-05-23,15:33:30
AI870,London,LHR,New York,JFK,13852,AirAsia,Boeing 777,Business,690.71,164,72,2025-03-11,06:52:20,2025-03-11,10:43:12
GA349,Madrid,MAD,Tokyo,HND,12258,Garuda Indonesia,Airbus A380,Business,876.59,189,169,2025-04-01,14:54:02,2025-04-01,18:18:20
SI345,Sydney,SYD,London,LHR,14412,AirAsia,Airbus A320,Business,763.84,200,148,2025-05-12,10:54:05,2025-05-12,14:54:17
SI849,Madrid,MAD,Jakarta,CGK,10430,AirAsia,Boeing 787,Business,763.58,200,21,2025-05-11,22:52:48,2025-05-12,01:46:38
EM769,Tokyo,HND,Dubai,DXB,11751,Garuda Indonesia,Airbus A380,Economy,276.54,154,90,2025-06-03,02:08:28,2025-06-03,05:24:19
GA705,Dubai,DXB,Tokyo,HND,13421,Qatar Airways,Boeing 737,First Class,925.32,195,155,2025-05-31,23:32:53,2025-06-01,03:16:34
GA333,New York,JFK,Jakarta,CGK,12060,Emirates,Boeing 777,Business,792.93,104,12,2025-03-17,20:37:44,2025-03-17,23:58:44
GA581,Jakarta,CGK,Dubai,DXB,8240,Garuda Indonesia,Boeing 787,First Class,979.74,105,75,2025-05-08,17:39:25,2025-05-08,19:56:45
SI538,Jakarta,CGK,London,LHR,7223,AirAsia,Airbus A380,Premium Economy,309.26,126,100,2025-05-24,01:03:57,2025-05-24,03:04:20
